Date,Price,Type,Index
2024-09-03 04:00:00,5670.75,Swing High,10
2024-09-26 04:00:00,5830.0,Swing High,27
2024-10-17 04:00:00,5927.0,Swing High,42
2024-11-11 05:00:00,6053.25,Swing High,59
2024-12-06 05:00:00,6113.0,Swing High,77
2024-12-26 05:00:00,6107.5,Swing High,90
2025-01-06 05:00:00,6068.25,Swing High,96
2025-01-24 05:00:00,6163.0,Swing High,109
2025-01-31 05:00:00,6147.75,Swing High,114
2025-02-07 05:00:00,6123.25,Swing High,119
2025-02-19 05:00:00,6166.25,Swing High,126
2025-03-25 04:00:00,5837.25,Swing High,150
2025-04-02 04:00:00,5776.25,Swing High,156
2025-04-10 04:00:00,5528.75,Swing High,162
2025-05-02 04:00:00,5724.5,Swing High,177
2025-05-20 04:00:00,5993.25,Swing High,189
2025-05-29 04:00:00,6008.0,Swing High,195
2025-06-11 04:00:00,6074.75,Swing High,204
2025-07-03 04:00:00,6333.5,Swing High,219
2025-07-31 04:00:00,6468.5,Swing High,239
