Date,Price,Type,Index
2024-09-06 04:00:00,5394.0,Swing Low,13
2024-10-02 04:00:00,5724.5,Swing Low,31
2024-10-08 04:00:00,5725.25,Swing Low,35
2024-10-23 04:00:00,5801.0,Swing Low,46
2024-11-04 05:00:00,5724.25,Swing Low,54
2024-11-19 05:00:00,5855.0,Swing Low,65
2024-12-10 05:00:00,6039.5,Swing Low,79
2024-12-20 05:00:00,5801.0,Swing Low,87
2025-01-02 05:00:00,5874.75,Swing Low,94
2025-01-13 05:00:00,5809.0,Swing Low,101
2025-01-27 05:00:00,5948.0,Swing Low,110
2025-02-03 05:00:00,5935.5,Swing Low,115
2025-02-10 05:00:00,6011.5,Swing Low,120
2025-03-13 04:00:00,5509.25,Swing Low,142
2025-03-21 04:00:00,5598.5,Swing Low,148
2025-04-07 04:00:00,4832.5,Swing Low,159
2025-04-21 04:00:00,5127.0,Swing Low,168
2025-04-30 04:00:00,5455.25,Swing Low,175
2025-05-07 04:00:00,5596.0,Swing Low,180
2025-05-23 04:00:00,5756.5,Swing Low,192
2025-06-13 04:00:00,5925.0,Swing Low,206
2025-06-20 04:00:00,5918.25,Swing Low,210
2025-07-16 04:00:00,6240.75,Swing Low,228
2025-08-01 04:00:00,6239.5,Swing Low,240
