Date,Price,Type,Index
2024-08-29 04:00:00,2525.7,Swing High,8
2024-09-27 04:00:00,2672.1001,Swing High,28
2024-10-22 04:00:00,2746.0,Swing High,45
2024-10-30 04:00:00,2789.0,Swing High,51
2024-11-22 05:00:00,2710.5,Swing High,68
2024-12-11 05:00:00,2733.8,Swing High,80
2024-12-26 05:00:00,2638.8,Swing High,90
2025-01-02 05:00:00,2663.1001,Swing High,94
2025-01-10 05:00:00,2720.1001,Swing High,100
2025-01-24 05:00:00,2792.0,Swing High,109
2025-02-11 05:00:00,2945.3999,Swing High,121
2025-02-24 05:00:00,2957.8999,Swing High,129
2025-03-04 05:00:00,2927.8999,Swing High,135
2025-03-19 04:00:00,3050.8999,Swing High,146
2025-04-02 04:00:00,3168.6001,Swing High,156
2025-04-22 04:00:00,3485.6001,Swing High,169
2025-05-06 04:00:00,3430.8999,Swing High,179
2025-05-23 04:00:00,3363.6001,Swing High,192
2025-06-05 04:00:00,3400.0,Swing High,200
2025-06-13 04:00:00,3444.0,Swing High,206
2025-07-03 04:00:00,3362.0,Swing High,219
2025-07-14 04:00:00,3375.5,Swing High,226
2025-07-22 04:00:00,3441.0,Swing High,232
2025-08-08 04:00:00,3477.0,Swing High,245
