Date,Price,Type,Index
2024-08-22 04:00:00,20025.75,Swing High,3
2024-09-26 04:00:00,20537.75,Swing High,27
2024-10-14 04:00:00,20680.0,Swing High,39
2024-10-30 04:00:00,20789.75,Swing High,51
2024-11-11 05:00:00,21340.5,Swing High,59
2024-11-25 05:00:00,21081.25,Swing High,69
2024-12-16 05:00:00,22152.5,Swing High,83
2024-12-26 05:00:00,22111.0,Swing High,90
2025-01-06 05:00:00,21897.0,Swing High,96
2025-01-22 05:00:00,22094.0,Swing High,107
2025-01-31 05:00:00,21965.75,Swing High,114
2025-02-07 05:00:00,21967.75,Swing High,119
2025-02-18 05:00:00,22320.0,Swing High,125
2025-03-17 04:00:00,19959.25,Swing High,144
2025-03-26 04:00:00,20536.75,Swing High,151
2025-04-02 04:00:00,20045.25,Swing High,156
2025-04-09 04:00:00,19388.0,Swing High,161
2025-05-02 04:00:00,20277.0,Swing High,177
2025-05-20 04:00:00,21562.25,Swing High,189
2025-05-29 04:00:00,21858.75,Swing High,195
2025-06-11 04:00:00,22094.0,Swing High,204
2025-07-03 04:00:00,23101.25,Swing High,219
2025-07-09 04:00:00,23111.25,Swing High,223
2025-07-31 04:00:00,23848.0,Swing High,239
