Date,Price,Type,Index
2024-09-06 04:00:00,18337.25,Swing Low,13
2024-10-01 04:00:00,19818.0,Swing Low,30
2024-10-16 04:00:00,20205.25,Swing Low,41
2024-10-23 04:00:00,20079.0,Swing Low,46
2024-10-31 04:00:00,20007.75,Swing Low,52
2024-11-19 05:00:00,20382.0,Swing Low,65
2024-11-27 05:00:00,20675.0,Swing Low,71
2024-12-10 05:00:00,21352.75,Swing Low,79
2024-12-20 05:00:00,20745.75,Swing Low,87
2025-01-02 05:00:00,20983.25,Swing Low,94
2025-01-13 05:00:00,20693.5,Swing Low,101
2025-01-27 05:00:00,20763.75,Swing Low,110
2025-02-03 05:00:00,20940.25,Swing Low,115
2025-02-10 05:00:00,21415.0,Swing Low,120
2025-03-11 04:00:00,19140.0,Swing Low,140
2025-03-21 04:00:00,19380.0,Swing Low,148
2025-04-07 04:00:00,16452.5,Swing Low,159
2025-04-21 04:00:00,17700.0,Swing Low,168
2025-04-30 04:00:00,19102.25,Swing Low,175
2025-05-07 04:00:00,19678.5,Swing Low,180
2025-05-23 04:00:00,20727.5,Swing Low,192
2025-06-13 04:00:00,21470.5,Swing Low,206
2025-06-20 04:00:00,21433.5,Swing Low,210
2025-07-02 04:00:00,22584.75,Swing Low,218
2025-07-14 04:00:00,22802.25,Swing Low,226
2025-08-01 04:00:00,22788.25,Swing Low,240
